,userId,Buisness_id,Tokens,Labels,Ratings
0,0,YjUWPpI6HXG530lwP-fb2A,chicken leg,B-FOOD,3
1,1,YjUWPpI6HXG530lwP-fb2A,melon,B-FOOD,3
2,2,kxX2SOes4o-D3ZQBkiMRfA,lamb curry,B-FOOD,5
3,3,kxX2SOes4o-D3ZQBkiMRfA,korma,B-FOOD,5
4,4,e4Vwtrqf-wpJfwesgvdgxQ,onion,B-FOOD,4
5,5,e4Vwtrqf-wpJfwesgvdgxQ,tomato,B-FOOD,4
6,6,e4Vwtrqf-wpJfwesgvdgxQ,cheese,B-FOOD,4
7,7,e4Vwtrqf-wpJfwesgvdgxQ,pepper jelly,B-FOOD,4
8,8,e4Vwtrqf-wpJfwesgvdgxQ,beer,B-FOOD,4
9,9,e4Vwtrqf-wpJfwesgvdgxQ,wine,B-FOOD,4
10,10,gmjsEdUsKpj9Xxu6pdjH0g,grocery,B-FOOD,5
11,11,LHSTtnW3YHCeUkRDGyJOyw,bleu cheese,B-FOOD,5
12,12,EQ-TZ2eeD_E0BHuvoaeG5Q,Milktooth,B-FOOD,4
13,13,lj-E32x9_FA7GmUrBGBEWg,pasta,B-FOOD,4
14,14,RZtGWDLCAtuipwaZ-UfjmQ,baked appetizer,B-FOOD,4
15,15,otQS34_MymijPTdNBoBdCw,hot dog,B-FOOD,4
16,16,otQS34_MymijPTdNBoBdCw,bacon,B-FOOD,4
17,17,otQS34_MymijPTdNBoBdCw,mustard,B-FOOD,4
18,18,otQS34_MymijPTdNBoBdCw,tortilla,B-FOOD,4
19,19,otQS34_MymijPTdNBoBdCw,salty cheese,B-FOOD,4
20,20,BVndHaLihEYbr76Z0CMEGw,waffle,B-FOOD,5
21,21,nRKndeZLQ3eDL10UMwS2rQ,pumpkin pie,B-FOOD,5
22,22,nRKndeZLQ3eDL10UMwS2rQ,frozen custard,B-FOOD,5
23,23,nRKndeZLQ3eDL10UMwS2rQ,pie crust,B-FOOD,5
24,24,ut6fi2W2YaipNOqvi7e0jw,cheese,B-FOOD,3
25,25,ut6fi2W2YaipNOqvi7e0jw,red sauce,B-FOOD,3
26,26,vC2qm1y3Au5czBtbhc-DNw,sushi,B-FOOD,4
27,27,vC2qm1y3Au5czBtbhc-DNw,salmon,B-FOOD,4
28,28,vC2qm1y3Au5czBtbhc-DNw,salmon,B-FOOD,4
